ABC19980108.1830.0711	9	5	signal	s1	1
ABC19980108.1830.0711	10	1	signal	s2	1
ABC19980108.1830.0711	28	7	signal	s3	1
ABC19980114.1830.0611	5	6	signal	s1	1
ABC19980114.1830.0611	9	4	signal	s2	1
ABC19980114.1830.0611	11	0	signal	s3	1
ABC19980114.1830.0611	13	10	signal	s4	1
ABC19980114.1830.0611	14	4	signal	s5	1
ABC19980304.1830.1636	1	18	signal	s1	1
ABC19980304.1830.1636	2	6	signal	s2	1
ABC19980304.1830.1636	5	6	signal	s3	1
ABC19980304.1830.1636	12	10	signal	s4	1
ABC19980304.1830.1636	13	0	signal	s5	1
AP900815-0044	0	32	signal	s1	1
AP900815-0044	2	2	signal	s2	1
AP900815-0044	8	0	signal	s3	1
AP900815-0044	9	41	signal	s4	1
AP900815-0044	10	20	signal	s5	1
AP900815-0044	12	7	signal	s6	1
AP900815-0044	13	13	signal	s7	1
AP900815-0044	14	20	signal	s8	1
AP900815-0044	16	18	signal	s9	1
AP900815-0044	16	19	signal	s9	1
AP900815-0044	16	20	signal	s9	1
AP900815-0044	16	59	signal	s10	1
AP900815-0044	24	20	signal	s11	1
AP900815-0044	26	7	signal	s12	1
AP900815-0044	28	1	signal	s13	1
AP900815-0044	30	5	signal	s14	1
AP900815-0044	34	8	signal	s15	1
AP900815-0044	41	10	signal	s16	1
AP900815-0044	47	23	signal	s17	1
AP900815-0044	50	13	signal	s18	1
AP900816-0139	0	16	signal	s1	1
AP900816-0139	1	41	signal	s2	1
AP900816-0139	2	0	signal	s3	1
AP900816-0139	3	21	signal	s4	1
AP900816-0139	5	30	signal	s5	1
AP900816-0139	17	29	signal	s6	1
AP900816-0139	20	30	signal	s7	1
AP900816-0139	21	6	signal	s8	1
AP900816-0139	21	15	signal	s9	1
AP900816-0139	23	7	signal	s10	1
AP900816-0139	28	29	signal	s11	1
AP900816-0139	33	10	signal	s12	1
AP900816-0139	52	10	signal	s13	1
APW19980213.1310	1	20	signal	s1	1
APW19980213.1310	8	7	signal	s2	1
APW19980213.1310	9	50	signal	s3	1
APW19980213.1310	12	45	signal	s4	1
APW19980213.1320	0	17	signal	s1	1
APW19980213.1320	1	6	signal	s2	1
APW19980213.1320	4	23	signal	s3	1
APW19980213.1320	4	33	signal	s4	1
APW19980213.1380	2	15	signal	s1	1
APW19980213.1380	3	14	signal	s2	1
APW19980213.1380	9	17	signal	s3	1
APW19980219.0476	1	16	signal	s1	1
APW19980219.0476	1	37	signal	s2	1
APW19980219.0476	2	10	signal	s3	1
APW19980219.0476	2	20	signal	s4	1
APW19980219.0476	4	29	signal	s5	1
APW19980219.0476	5	0	signal	s6	1
APW19980219.0476	5	21	signal	s7	1
APW19980219.0476	6	15	signal	s8	1
APW19980219.0476	6	24	signal	s9	1
