112_20020102.txt.tml.plain	0	0-ns	event	e1	1	aspect	NONE
112_20020102.txt.tml.plain	0	0-ns	event	e1	1	vform	NONE
112_20020102.txt.tml.plain	0	0-ns	event	e1	1	polarity	POS
112_20020102.txt.tml.plain	0	0-ns	event	e1	1	tense	NONE
112_20020102.txt.tml.plain	0	0-ns	event	e1	1	mood	NONE
112_20020102.txt.tml.plain	0	0-ns	event	e1	1	class	STATE
112_20020102.txt.tml.plain	0	12-s	event	e2	1	aspect	IMPERFECTIVE
112_20020102.txt.tml.plain	0	12-s	event	e2	1	vform	NONE
112_20020102.txt.tml.plain	0	12-s	event	e2	1	polarity	POS
112_20020102.txt.tml.plain	0	12-s	event	e2	1	tense	PRESENT
112_20020102.txt.tml.plain	0	12-s	event	e2	1	mood	INDICATIVE
112_20020102.txt.tml.plain	0	12-s	event	e2	1	class	OCCURRENCE
112_20020102.txt.tml.plain	0	20-s	event	e4	1	aspect	NONE
112_20020102.txt.tml.plain	0	20-s	event	e4	1	vform	NONE
112_20020102.txt.tml.plain	0	20-s	event	e4	1	polarity	POS
112_20020102.txt.tml.plain	0	20-s	event	e4	1	tense	NONE
112_20020102.txt.tml.plain	0	20-s	event	e4	1	mood	NONE
112_20020102.txt.tml.plain	0	20-s	event	e4	1	class	OCCURRENCE
112_20020102.txt.tml.plain	1	9-s	event	e5	1	aspect	IMPERFECTIVE
112_20020102.txt.tml.plain	1	9-s	event	e5	1	vform	NONE
112_20020102.txt.tml.plain	1	9-s	event	e5	1	polarity	POS
112_20020102.txt.tml.plain	1	9-s	event	e5	1	tense	PRESENT
112_20020102.txt.tml.plain	1	9-s	event	e5	1	mood	INDICATIVE
112_20020102.txt.tml.plain	1	9-s	event	e5	1	class	OCCURRENCE
112_20020102.txt.tml.plain	1	24-s	event	e6	1	aspect	IMPERFECTIVE
112_20020102.txt.tml.plain	1	24-s	event	e6	1	vform	NONE
112_20020102.txt.tml.plain	1	24-s	event	e6	1	polarity	POS
112_20020102.txt.tml.plain	1	24-s	event	e6	1	tense	PRESENT
112_20020102.txt.tml.plain	1	24-s	event	e6	1	mood	INDICATIVE
112_20020102.txt.tml.plain	1	24-s	event	e6	1	class	OCCURRENCE
112_20020102.txt.tml.plain	1	26-s	event	e7	1	aspect	IMPERFECTIVE
112_20020102.txt.tml.plain	1	26-s	event	e7	1	vform	NONE
112_20020102.txt.tml.plain	1	26-s	event	e7	1	polarity	POS
112_20020102.txt.tml.plain	1	26-s	event	e7	1	tense	PRESENT
112_20020102.txt.tml.plain	1	26-s	event	e7	1	mood	INDICATIVE
112_20020102.txt.tml.plain	1	26-s	event	e7	1	class	OCCURRENCE
112_20020102.txt.tml.plain	2	2-s	event	e8	1	aspect	NONE
112_20020102.txt.tml.plain	2	2-s	event	e8	1	vform	NONE
112_20020102.txt.tml.plain	2	2-s	event	e8	1	polarity	POS
112_20020102.txt.tml.plain	2	2-s	event	e8	1	tense	NONE
112_20020102.txt.tml.plain	2	2-s	event	e8	1	mood	NONE
112_20020102.txt.tml.plain	2	2-s	event	e8	1	class	OCCURRENCE
112_20020102.txt.tml.plain	2	10-s	event	e9	1	aspect	IMPERFECTIVE
112_20020102.txt.tml.plain	2	10-s	event	e9	1	vform	NONE
