112_20020102.txt.tml.plain	0	0-ns	event	e1	1
112_20020102.txt.tml.plain	0	12-s	event	e2	1
112_20020102.txt.tml.plain	0	20-s	event	e4	1
112_20020102.txt.tml.plain	1	9-s	event	e5	1
112_20020102.txt.tml.plain	1	24-s	event	e6	1
112_20020102.txt.tml.plain	1	26-s	event	e7	1
112_20020102.txt.tml.plain	2	2-s	event	e8	1
112_20020102.txt.tml.plain	2	10-s	event	e9	1
112_20020102.txt.tml.plain	2	30-s	event	e10	1
112_20020102.txt.tml.plain	2	37-s	event	e11	1
112_20020102.txt.tml.plain	3	9-s	event	e13	1
112_20020102.txt.tml.plain	3	16-s	event	e14	1
112_20020102.txt.tml.plain	3	19-s	event	e15	1
112_20020102.txt.tml.plain	4	7-s	event	e16	1
112_20020102.txt.tml.plain	4	18-s	event	e17	1
112_20020102.txt.tml.plain	4	26-s	event	e18	1
112_20020102.txt.tml.plain	4	28-s	event	e19	1
112_20020102.txt.tml.plain	4	30-s	event	e20	1
112_20020102.txt.tml.plain	5	2-s	event	e22	1
112_20020102.txt.tml.plain	5	7-s	event	e23	1
112_20020102.txt.tml.plain	6	18-s	event	e24	1
112_20020102.txt.tml.plain	6	23-s	event	e26	1
112_20020102.txt.tml.plain	7	7-s	event	e27	1
112_20020102.txt.tml.plain	7	12-s	event	e28	1
112_20020102.txt.tml.plain	7	17-s	event	e29	1
112_20020102.txt.tml.plain	8	3-s	event	e30	1
112_20020102.txt.tml.plain	9	0-s	event	e31	1
112_20020102.txt.tml.plain	9	15-s	event	e32	1
112_20020102.txt.tml.plain	10	2-s	event	e34	1
112_20020102.txt.tml.plain	10	14-s	event	e35	1
112_20020102.txt.tml.plain	10	16-s	event	e36	1
112_20020102.txt.tml.plain	10	22-s	event	e38	1
112_20020102.txt.tml.plain	10	25-s	event	e39	1
112_20020102.txt.tml.plain	10	32-s	event	e40	1
112_20020102.txt.tml.plain	10	33-s	event	e41	1
112_20020102.txt.tml.plain	10	36-s	event	e42	1
112_20020102.txt.tml.plain	10	46-s	event	e44	1
112_20020102.txt.tml.plain	11	2-s	event	e45	1
112_20020102.txt.tml.plain	11	11-s	event	e46	1
112_20020102.txt.tml.plain	12	3-s	event	e47	1
112_20020102.txt.tml.plain	12	9-s	event	e48	1
112_20020102.txt.tml.plain	12	14-s	event	e49	1
112_20020102.txt.tml.plain	12	15-s	event	e50	1
