112_20020102.txt.tml.plain	2002-01-02	t0
12_19990401.txt.tml.plain	1999-04-01	t0
106_20010202.txt.tml.plain	2001-02-02	t0
11476_20000614.txt.tml.plain	2000-06-14	t0
113_19990501_b.txt.tml.plain	1999-05-01	t0
108_20000301_b.txt.tml.plain	2000-03-01	t0
10646_20000313.txt.tml.plain	2000-03-13	t0
121_19991202_b.txt.tml.plain	1999-12-02	t0
10591_20001013.txt.tml.plain	2000-10-13	t0
123_19990202.txt.tml.plain	1999-02-02	t0
121_20020202.txt.tml.plain	2002-02-02	t0
10_20010402_a.txt.tml.plain	2001-04-02	t0
108_20000601_d.txt.tml.plain	2000-06-01	t0
11981_20001215.txt.tml.plain	2000-12-15	t0
12221_20000215.txt.tml.plain	2000-02-15	t0
112_20020103.txt.tml.plain	2002-01-03	t0
111_20000202.txt.tml.plain	2000-02-02	t0
117_20010801.txt.tml.plain	2001-08-01	t0
127_19990602.txt.tml.plain	1999-06-02	t0
113_19990501_e.txt.tml.plain	1999-05-01	t0
105_19990601.txt.tml.plain	1999-06-01	t0
108_19990501.txt.tml.plain	1999-05-01	t0
125_19990701.txt.tml.plain	1999-07-01	t0
111_C-3.txt.tml.plain	2000-06-01	t0
10_20020501.txt.tml.plain	2002-05-01	t0
104_20010902.txt.tml.plain	2001-09-02	t0
111_C-6.txt.tml.plain	2000-06-01	t0
10568_20001013.txt.tml.plain	2000-10-13	t0
12432_20000416.txt.tml.plain	2000-04-16	t0
131_20000602.txt.tml.plain	2000-06-02	t0
11811_20000516.txt.tml.plain	2000-05-16	t0
107_20010802.txt.tml.plain	2001-08-02	t0
12547_20000119.txt.tml.plain	2000-01-19	t0
108_20000702.txt.tml.plain	2000-07-02	t0
108_20000301_a.txt.tml.plain	2000-03-01	t0
11598_20000715.txt.tml.plain	2000-07-15	t0
121_19991202_d.txt.tml.plain	1999-12-02	t0
118_19990701.txt.tml.plain	1999-07-01	t0
125_20020301.txt.tml.plain	2002-03-01	t0
105_20000401.txt.tml.plain	2000-04-01	t0
11317_20000817.txt.tml.plain	2000-08-17	t0
10_20010402_b.txt.tml.plain	2001-04-02	t0
11465_20000214.txt.tml.plain	2000-02-14	t0
12_20000903.txt.tml.plain	2000-09-03	t0
10920_20001115.txt.tml.plain	2000-11-15	t0
113_19990501_a.txt.tml.plain	1999-05-01	t0
104_C-6.txt.tml.plain	2000-06-01	t0
104_C-5.txt.tml.plain	2000-07-01	t0
10872_20001214.txt.tml.plain	2000-12-14	t0
111_19981202.txt.tml.plain	1998-12-02	t0
119_20010401.txt.tml.plain	2001-04-01	t0
13169_20001017.txt.tml.plain	2000-10-17	t0
121_19991202_a.txt.tml.plain	1999-12-02	t0
111_C-7.txt.tml.plain	2000-06-01	t0
129_20020502.txt.tml.plain	2002-05-02	t0
126_20000401.txt.tml.plain	2000-04-01	t0
A_basics-and-errors.txt.tml.plain	2010-07-26	t0
12163_20000415.txt.tml.plain	2000-04-15	t0
118_19991001.txt.tml.plain	1999-10-01	t0
104_20011001.txt.tml.plain	2001-10-01	t0
113_19990501_d.txt.tml.plain	1999-05-01	t0
11033_20000817.txt.tml.plain	2000-08-17	t0
109_19990103.txt.tml.plain	1999-01-03	t0
130_20010201.txt.tml.plain	2001-02-01	t0
104_20010802.txt.tml.plain	2001-08-02	t0
11084_20001014.txt.tml.plain	2000-10-14	t0
