SO11.txt.pos	1993-09-28
SO110.txt.pos	1992-12-16
SO12.txt.pos	1993-09-28
SO13.txt.pos	1993-03-04
SO15.txt.pos	1992-05-15
SO16.txt.pos	1992-02-25
els.morph001	1985-01-30
els.morph002	1985-01-30
els.morph003	1985-01-30
els.morph004	1985-01-30
els.morph005	1985-01-30
els.morph007	1985-05-11
els.morph022	1986-10-03
els.morph023	1986-10-03
els.morph024	1986-10-03
els.morph025	1986-10-03
els.morph041	1986-09-30
els.morph042	1986-09-29
els.morph051	1986-07-01
els.morph054	1986-07-01
els.morph055	1986-07-01
els.morph056	1986-07-01
els.morph058	1986-07-01
sole.morph001	1994-05-25
sole.morph004	1994-05-25
sole.morph006	1994-05-25
sole.morph007	1994-05-25
sole.morph009	1994-05-25
sole.morph013	1994-05-25
sole.morph014	1994-05-25
sole.morph015	1994-05-25
sole.morph018	1994-05-25
sole.morph019	1994-05-25
sole.morph020	1994-05-25
sole.morph021	1994-05-25
sole.morph022	1994-05-25
sole.morph024	1994-05-25
sole.morph027	1994-05-25
sole.morph030	1994-05-25
sole.morph034	1994-05-25
sole.morph044	1994-05-25
sole.morph048	1994-05-25
sole.morph050	1994-05-25
cs.morph001	1995-08-07
sole.morph002	1994-05-25
sole.morph016	1994-05-25
sole.morph017	1994-05-25
sole.morph041	1994-05-25
sole.morph043	1994-05-25
els.morph015	1986-03-28
els.morph020	1986-10-03
cs.morph008	1995-08-07
cs.morph011	1995-08-07
sole.morph003	1994-05-25
els.morph019	1986-10-03
sole.morph042	1994-05-25
