wsj_0161.tml.plain	1989-11-02	t0
NYT20000105.0325.tml.plain	2000-01-05	t0
NYT20000601.0442.tml.plain	2000-06-01	t0
wsj_0610.tml.plain	1989-10-30	t0
ABC19980114.1830.0611.tml.plain	1998-01-14	t0
APW20000115.0031.tml.plain	2000-01-15	t0
XIE19981203.0008.tml.plain	1998-12-03	t0
wsj_1073.tml.plain	1989-10-25	t0
WSJ910225-0066.tml.plain	1991-02-25	t0
PRI19980306.2000.1675.tml.plain	1998-03-06	t0
XIE19980808.0060.tml.plain	1998-08-08	t0
PRI19980303.2000.2550.tml.plain	1998-03-03	t0
NYT19981025.0216.tml.plain	1998-10-25T21:57	t0
VOA19980305.1800.2603.tml.plain	1998-03-05	t0
APW19990507.0207.tml.plain	1999-05-07T03:44	t0
NYT19990505.0443.tml.plain	1999-05-05T21:01	t0
wsj_0175.tml.plain	1989-11-02	t0
wsj_0923.tml.plain	1989-10-26	t0
APW19980826.0389.tml.plain	1998-08-26	t0
wsj_0533.tml.plain	1989-10-30	t0
wsj_0751.tml.plain	1989-10-27	t0
wsj_0918.tml.plain	1989-10-26	t0
APW20000115.0209.tml.plain	2000-01-15	t0
NYT20000406.0002.tml.plain	2000-04-06	t0
wsj_0661.tml.plain	1989-10-30	t0
AP900815-0044.tml.plain	1990-08-15T13:37	t0
wsj_0505.tml.plain	1989-10-31	t0
wsj_0685.tml.plain	1989-10-30	t0
wsj_0173.tml.plain	1989-11-02	t0
wsj_0558.tml.plain	1989-10-30	t0
wsj_0927.tml.plain	1989-10-26	t0
XIE19990210.0079.tml.plain	1999-02-10	t0
WSJ900813-0157.tml.plain	1990-08-13	t0
wsj_0806.tml.plain	1989-10-27	t0
wsj_1031.tml.plain	1989-10-26	t0
wsj_0586.tml.plain	1989-10-30	t0
wsj_0575.tml.plain	1989-10-30	t0
wsj_1038.tml.plain	1989-10-26	t0
wsj_0798.tml.plain	1989-10-27	t0
APW19980227.0476.tml.plain	1998-02-27T08:02:00	t0
NYT20000113.0267.tml.plain	2000-01-13	t0
PRI19980216.2000.0170.tml.plain	1998-02-16	t0
CNN19980126.1600.1104.tml.plain	1998-01-26	t0
NYT19980424.0421.tml.plain	1998-04-24T21:49:00	t0
APW19980227.0487.tml.plain	1998-02-27T08:09:00	t0
APW19980807.0261.tml.plain	1998-08-07	t0
CNN19980227.2130.0067.tml.plain	1998-02-27	t0
XIE19980808.0188.tml.plain	1998-08-07	t0
